@relation GesturePrediction

@attribute labels {click, twoFingerClick, panLeft, panRight, panUp, panDown, closedUp, up, stoped, closedStoped}
@attribute zeroFingerFramesRatio  numeric
@attribute oneFingerFramesRatio  numeric
@attribute twoFingerFramesRatio  numeric
@attribute threeFingerFramesRatio  numeric
@attribute fourFingerFramesRatio  numeric
@attribute fiveFingerFramesRatio  numeric
@attribute pitchAngleAverage  numeric
@attribute yawAngleAverage numeric
@attribute rollAngleAverage numeric
@attribute xAveragePalmVelocity numeric
@attribute yAveragePalmVelocity numeric
@attribute zAveragePalmVelocity numeric
@attribute rightMovementFramesRation numeric
@attribute leftMovementFramesRation numeric
@attribute upMovementFramesRation numeric
@attribute downMovementFramesRation numeric

@data
click,0.2545454545454545,0.7454545454545455,0.0,0.0,0.0,0.0,0.2997889452359893,-0.23356403125958008,-2.4654513597488403,-8.92884134216742,-4.263708928566087,7.611909418197518,0.7636363636363637,0.23636363636363636,0.7545454545454545,0.24545454545454545
twoFingerClick,0.16666666666666666,0.08333333333333333,0.75,0.0,0.0,0.0,0.4516460331422942,-0.33961197219434236,-2.4894323973428634,-14.542720341611476,-10.976290567645005,4.028497437281268,0.8571428571428571,0.14285714285714285,0.5833333333333334,0.4166666666666667
twoFingerClick,0.2549019607843137,0.0,0.7450980392156863,0.0,0.0,0.0,0.2812007668921176,-0.3318702236694448,-2.224325531837987,-3.75376012380801,-18.240846729380827,-1.1365431629157825,0.6862745098039216,0.3137254901960784,0.4411764705882353,0.5588235294117647
twoFingerClick,0.25217391304347825,0.017391304347826087,0.7304347826086957,0.0,0.0,0.0,0.26105777025222776,-0.29315598166507223,-2.2823495035586148,-1.009489421773216,-12.643543857595194,-0.32307682646357494,0.41739130434782606,0.5826086956521739,0.4782608695652174,0.5217391304347826
click,0.2962962962962963,0.7037037037037037,0.0,0.0,0.0,0.0,0.2725517357941027,-0.23194059122491767,-2.42907174649062,-5.134458192382698,-4.690312894820063,0.8938768667479357,0.6944444444444444,0.3055555555555556,0.5092592592592593,0.49074074074074076
panUp,0.0,0.0,0.0,0.0,0.21014492753623187,0.7898550724637681,0.8383171804573225,-0.32583601664805756,-2.845668315887451,12.847411321125168,152.67813993427748,-6.141311209000971,0.11594202898550725,0.8840579710144928,0.42028985507246375,0.5797101449275363
panUp,0.0,0.0,0.0,0.1485148514851485,0.297029702970297,0.5544554455445545,0.8420485323018366,-0.35232369586972906,-2.827017111353355,-10.232083465793345,185.20700221132523,-9.820537499862143,0.6534653465346535,0.3465346534653465,0.4158415841584158,0.5841584158415841
panDown,0.0,0.0,0.0,0.0,0.5391304347826087,0.4608695652173913,0.8308760845142862,-0.36101621272771256,-2.8218701652858567,28.6192877235296,-195.3367039706396,-27.00675647660442,0.30434782608695654,0.6956521739130435,0.20869565217391303,0.7913043478260869
panDown,0.0,0.0,0.0,0.7211538461538461,0.25,0.028846153846153848,0.8288170251135643,-0.3289673752509631,-2.843429448512884,24.893441111995624,-208.57738985063938,-23.33520163187327,0.028846153846153848,0.9711538461538461,0.33653846153846156,0.6634615384615384
panDown,0.0,0.0,0.0,0.631578947368421,0.3684210526315789,0.0,0.8142516812435666,-0.37241210525197194,-2.7895420422231343,36.44802509965305,-163.81584621696993,-20.15276983297689,0.045112781954887216,0.9548872180451128,0.12030075187969924,0.8796992481203008
panUp,0.0,0.0,0.12931034482758622,0.07758620689655173,0.3017241379310345,0.49137931034482757,0.905564479272941,-0.3687353701940898,-2.848424290788585,-5.241635215147559,182.48687650006394,10.593590203030356,0.6810344827586207,0.31896551724137934,0.5603448275862069,0.4396551724137931
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.4795009458166921,-0.11600422161694966,0.24526623579171988,-238.024993019481,-50.379567773041565,19.994854671323402,0.8547008547008547,0.1452991452991453,0.5299145299145299,0.4700854700854701
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.373631781578064,-0.2342160404548049,-2.685288871765137,-211.6028641526699,-56.01488186609745,54.077464160010216,0.808,0.192,0.864,0.136
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.5148986343477593,-0.19666560679735218,0.06654258634223313,-270.947698915591,-2.6054184801387983,50.75208889241101,0.9918032786885246,0.00819672131147541,0.8688524590163934,0.13114754098360656
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.5043620325751224,-0.14922108633593673,-0.12752425468574136,-192.40542673742618,-41.014193343977304,16.482313085915678,0.9067796610169492,0.09322033898305085,0.5677966101694916,0.4322033898305085
panRight,0.27906976744186046,0.40310077519379844,0.17054263565891473,0.03875968992248062,0.046511627906976744,0.06201550387596899,0.5255186661731365,-0.5720013914875282,-2.322846061499544,167.98842093186786,-46.62701539568199,-17.98667371642682,0.27906976744186046,0.7209302325581395,0.16279069767441862,0.8372093023255814
panRight,0.07339449541284404,0.027522935779816515,0.08256880733944955,0.25688073394495414,0.3853211009174312,0.1743119266055046,0.3091377613194492,-0.676419108832648,-1.9856699027052713,228.21926459478675,-38.87427558784091,-39.157711241838584,0.0,1.0,0.10091743119266056,0.8990825688073395
panRight,0.0,0.0,0.0,0.0,0.5963302752293578,0.4036697247706422,0.8168337449021296,-0.7605446618084514,-2.4274820275262954,226.93837719253443,-40.45647586389966,-42.250971466849705,0.2018348623853211,0.7981651376146789,0.11009174311926606,0.8899082568807339
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.6786305976805286,-0.18888969033518338,-1.5529664632315947,-199.90439926575277,-56.52445700458277,26.594118409624723,1.0,0.0,0.5981308411214953,0.40186915887850466
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.6290987029075622,-0.3669497042298317,-2.6758558616638184,-185.40417375040053,-38.12276244926453,44.760242017701266,1.0,0.0,0.696,0.304
up,0.0,0.0,0.0,0.0,0.0,1.0,0.2721174861062063,-0.002547902585571785,0.026705399604692853,1.2062143509926861,4.0816749821787015,-0.9515143578731748,0.589041095890411,0.410958904109589,0.42191780821917807,0.5780821917808219
